Date,Day,change_given
2023-11-18,Saturday,122.36
2023-11-19,Sunday,2013.31
2023-11-20,Monday,289.88
2023-11-21,Tuesday,749.62
2023-11-22,Wednesday,322.5
2023-11-23,Thursday,51.410000000000004
2023-11-24,Friday,459.61
2023-11-25,Saturday,421.14
2023-11-26,Sunday,2617.56
2023-11-27,Monday,68.23
2023-11-28,Tuesday,2219.98
2023-11-29,Wednesday,69.12
2023-11-30,Thursday,2051.77
2023-12-01,Friday,130.97
2023-12-02,Saturday,116.45
2023-12-03,Sunday,141.84
2023-12-04,Monday,496.46
2023-12-05,Tuesday,4448.92
2023-12-06,Wednesday,311.90999999999997
2023-12-07,Thursday,21.740000000000002
2023-12-08,Friday,134.84
2023-12-09,Saturday,2039.4299999999998
2023-12-10,Sunday,141.37
2023-12-11,Monday,56.89
2023-12-12,Tuesday,94.11
2023-12-13,Wednesday,153.29
2023-12-14,Thursday,208.27
2023-12-15,Friday,71.75
2023-12-16,Saturday,76.42
2023-12-17,Sunday,256.73
2023-12-18,Monday,2381.9900000000002
2023-12-19,Tuesday,112.4
2023-12-20,Wednesday,405.7
2023-12-21,Thursday,348.19
2023-12-22,Friday,81.69
2023-12-23,Saturday,299.68
2023-12-24,Sunday,125.39999999999999
2023-12-25,Monday,299.05
2023-12-26,Tuesday,326.14
2023-12-27,Wednesday,260.21000000000004
2023-12-28,Thursday,2188.5
2023-12-29,Friday,4164.26
2023-12-30,Saturday,369.92
2023-12-31,Sunday,99.28
2024-01-01,Monday,989.3599999999999
2024-01-02,Tuesday,112.84
2024-01-03,Wednesday,525.4
2024-01-04,Thursday,112.91
2024-01-05,Friday,1848.31
2024-01-06,Saturday,1743.56
2024-01-07,Sunday,142.75
2024-01-08,Monday,2431.89
2024-01-09,Tuesday,182.51000000000002
2024-01-10,Wednesday,460.47
2024-01-11,Thursday,216.91
2024-01-12,Friday,74.79
2024-01-13,Saturday,232.41
2024-01-14,Sunday,134.34
2024-01-15,Monday,2165.15
2024-01-16,Tuesday,279.0
2024-01-17,Wednesday,2225.2799999999997
2024-01-18,Thursday,408.31
2024-01-19,Friday,762.23
2024-01-20,Saturday,600.32
2024-01-21,Sunday,269.81
2024-01-22,Monday,175.23
2024-01-23,Tuesday,739.09
2024-01-24,Wednesday,2147.63
2024-01-25,Thursday,2263.2599999999998
2024-01-26,Friday,69.03
2024-01-27,Saturday,585.88
2024-01-28,Sunday,4531.8
2024-01-29,Monday,212.98
2024-01-30,Tuesday,2433.57
2024-01-31,Wednesday,216.62
2024-02-01,Thursday,2137.5099999999998
2024-02-02,Friday,2358.63
2024-02-03,Saturday,508.18
2024-02-04,Sunday,74.26
2024-02-05,Monday,292.02000000000004
2024-02-06,Tuesday,2253.81
2024-02-07,Wednesday,428.04
2024-02-08,Thursday,496.65000000000003
2024-02-09,Friday,77.16
2024-02-10,Saturday,2160.87
2024-02-11,Sunday,301.63
2024-02-12,Monday,213.76000000000002
2024-02-13,Tuesday,95.87
2024-02-14,Wednesday,227.12
2024-02-15,Thursday,1776.2
2024-02-16,Friday,2132.2
2024-02-17,Saturday,181.36
2024-02-18,Sunday,260.12
2024-02-19,Monday,155.48999999999998
2024-02-20,Tuesday,198.64
2024-02-21,Wednesday,185.44
2024-02-22,Thursday,455.63
2024-02-23,Friday,47.22
2024-02-24,Saturday,152.87
2024-02-25,Sunday,244.35
2024-02-26,Monday,448.4
2024-02-27,Tuesday,538.48
2024-02-28,Wednesday,509.35999999999996
2024-02-29,Thursday,278.73
2024-03-01,Friday,311.8
2024-03-02,Saturday,413.9
2024-03-03,Sunday,2562.14
2024-03-04,Monday,670.55
2024-03-05,Tuesday,691.9200000000001
2024-03-06,Wednesday,211.85000000000002
2024-03-07,Thursday,623.81
2024-03-08,Friday,124.92
2024-03-09,Saturday,193.88
2024-03-10,Sunday,233.36
2024-03-11,Monday,431.90999999999997
