tx_id,store_type,timestamp,total_amount,payment_method,tendered_amount,tendered_breakdown,change_given,change_breakdown,notes
65b44d64-5ad6-4b41-885d-8f8dd7d4aafb,kirana,2025-10-10 19:59:12,212.3,cash,300.0,"{""200"":1,""100"":1}",87.7,"{""50"":1,""20"":1,""10"":1,""5"":1,""2"":1}",
b9a21eca-f23d-4e63-ab79-cd63e325df61,kirana,2025-11-04 17:33:47,30.43,cash,30.43,"{""20"":1,""10"":1}",0.0,,
1851b952-0d13-44c8-98a3-22e1e2b43d27,kirana,2025-08-27 19:01:29,16.26,upi,,,0.0,,upi_txn=e3ae27c1-8d0
8718a7a6-12a7-4234-aae0-53152c988f2b,kirana,2025-11-14 07:42:55,18.31,cash,20.0,"{""20"":1}",1.69,"{""1"":1}",
a65b6460-4ede-473f-8887-ff6e5ec04c38,kirana,2025-10-30 18:33:38,67.1,upi,,,0.0,,upi_txn=e90e6418-a5a
791c9a49-af37-4c23-b4b7-2b6e1ba0ad89,kirana,2025-08-23 18:47:51,72.42,upi,,,0.0,,upi_txn=1762295b-671
da24f0e3-2378-4cb0-84d4-36937d7cd574,kirana,2025-09-19 07:10:19,267.09,upi,,,0.0,,upi_txn=8fee5303-840
ac7f3695-671e-4e6c-aee7-d42266e91300,kirana,2025-09-06 11:34:21,84.72,cash,84.72,"{""50"":1,""20"":1,""10"":1,""2"":2}",0.0,,
e65a85a7-c2e1-4893-9730-f5888d1c0b62,kirana,2025-10-13 07:49:45,110.55,upi,,,0.0,,upi_txn=7d7cecaa-60c
8c094c24-2595-4396-ad67-c2db451097fe,kirana,2025-09-02 07:40:31,84.81,cash,100.0,"{""100"":1}",15.19,"{""10"":1,""5"":1}",
6afbf6f3-1417-4b8d-a00d-6a204405d81a,kirana,2025-11-15 07:31:10,110.18,cash,120.0,"{""100"":1,""20"":1}",9.82,"{""5"":1,""2"":2}",
bc4b5a41-a9ba-44e8-be53-c160432e0cf9,kirana,2025-10-23 07:42:31,260.17,upi,,,0.0,,upi_txn=7779c70c-c63
29c8e592-a922-48e8-b710-35895b8d2c5f,kirana,2025-10-10 07:23:21,5.0,cash,5.0,"{""5"":1}",0.0,,
1bdea003-27fe-49da-910d-82643bf40a95,kirana,2025-10-30 08:32:44,9.0,cash,20.0,"{""20"":1}",11.0,"{""10"":1,""1"":1}",
313043bb-209a-4f36-8578-adf69970856f,kirana,2025-09-12 08:36:18,28.39,cash,30.0,"{""20"":1,""10"":1}",1.61,"{""1"":1}",
e81d4cf0-ccdd-4165-abb4-3c64ee5e6257,kirana,2025-10-03 17:36:06,85.46,cash,100.0,"{""100"":1}",14.54,"{""10"":1,""2"":2}",
986c184f-6217-4378-9cb5-6d7a967b40ec,kirana,2025-10-13 19:28:39,132.78,upi,,,0.0,,upi_txn=4f9046b6-acf
ceb7154a-d57b-4286-bbc3-d84d39539753,kirana,2025-10-18 17:14:22,164.57,cash,170.0,"{""100"":1,""50"":1,""20"":1}",5.43,"{""5"":1}",
05b6468b-6490-45c8-94a6-ccfe35d387c2,kirana,2025-10-07 19:13:57,267.39,cash,400.0,"{""200"":2}",132.61,"{""100"":1,""20"":1,""10"":1,""2"":1}",
5b6774a7-de7c-4ab0-834e-388f7a24e77b,kirana,2025-08-23 07:09:52,102.9,cash,110.0,"{""100"":1,""10"":1}",5.0,"{""5"":1}",
db893e32-46ea-4006-8da5-d6c4387882d4,kirana,2025-10-07 07:06:31,82.28,cash,100.0,"{""100"":1}",17.72,"{""10"":1,""5"":1,""2"":1}",
7d5ecc52-19ec-4cf5-a630-2c889878aac2,kirana,2025-08-22 02:06:33,101.11,cash,150.0,"{""100"":1,""50"":1}",48.89,"{""20"":2,""5"":1,""2"":1,""1"":1}",
7fc099e5-f63c-4fc6-9051-2250543bb939,kirana,2025-10-25 08:26:28,50.43,upi,,,0.0,,upi_txn=d2ff77d0-137
42472573-58db-4046-8c43-0341a896063a,kirana,2025-10-06 08:30:28,31.51,cash,35.0,"{""20"":1,""10"":1,""5"":1}",3.49,"{""2"":1,""1"":1}",
3181dff9-4da0-4496-a2ad-d63406dd69b2,kirana,2025-10-29 07:39:11,46.33,cash,100.0,"{""100"":1}",53.67,"{""50"":1,""2"":1,""1"":1}",
c0859f98-477d-4a9d-87ab-fc51ea9c8b2c,kirana,2025-10-11 08:47:50,104.65,cash,150.0,"{""100"":1,""50"":1}",45.35,"{""20"":2,""5"":1}",
87e0b13d-9979-477c-8147-101a4b07fc73,kirana,2025-09-13 07:43:46,409.47,upi,,,0.0,,upi_txn=ae372011-182
ee6edbdb-7bcd-4408-9032-4d760941f81e,kirana,2025-11-09 09:51:07,90.38,cash,100.0,"{""100"":1}",9.62,"{""5"":1,""2"":2}",
4c71ae08-de05-4f65-bbfe-271d9d098bbe,kirana,2025-11-14 18:41:28,125.17,upi,,,0.0,,upi_txn=c7737d87-8cd
e7f6aabf-f748-4faa-b7c8-b94760c7a831,kirana,2025-08-31 18:25:31,14.99,cash,14.99,"{""10"":1,""2"":2}",0.0,,
aa0a8c7f-7de6-411a-b5b2-0670dce3f7dc,kirana,2025-09-18 17:10:13,5.0,upi,,,0.0,,upi_txn=c3c1dafd-ecc
d94dd3fc-d066-4b90-b13c-0551a6008a82,kirana,2025-10-06 09:00:33,128.9,cash,140.0,"{""100"":1,""20"":2}",11.1,"{""10"":1,""1"":1}",
4e857bd9-0cac-46b7-8d2b-3e10e5f26d5a,kirana,2025-09-12 09:01:46,187.24,cash,200.0,"{""200"":1}",12.76,"{""10"":1,""2"":1}",
69d88950-5967-4fb0-bb88-a09c37a118ab,kirana,2025-09-13 07:09:36,5.0,upi,,,0.0,,upi_txn=30c193cd-9c1
92369501-26cd-4a6c-9863-dbbe901a7038,kirana,2025-09-04 09:39:19,54.14,cash,100.0,"{""100"":1}",45.86,"{""20"":2,""5"":1}",
6678632d-2e08-43b9-9569-a9d52654230c,kirana,2025-11-07 19:32:18,59.77,upi,,,0.0,,upi_txn=7323659d-655
cc613888-0d1e-4710-afd4-ab54b466359f,kirana,2025-11-15 08:03:45,72.58,upi,,,0.0,,upi_txn=007d21ce-58b
984b1c1e-5acd-44fb-9daf-1a1d65836b61,kirana,2025-09-02 20:46:25,5.0,upi,,,0.0,,upi_txn=e8a1bc10-21f
f244517b-3575-48ad-a434-74698110d1d0,kirana,2025-11-14 18:39:00,180.37,cash,180.37,"{""100"":1,""50"":1,""20"":1,""10"":1}",0.0,,
67b9ab58-a82e-428c-b993-873bc66240c7,kirana,2025-09-07 08:58:09,104.23,cash,120.0,"{""100"":1,""20"":1}",15.77,"{""10"":1,""5"":1}",
f942eb5b-5a00-453f-ba2f-7af4c27ed201,kirana,2025-11-14 17:22:42,136.45,cash,140.0,"{""100"":1,""20"":2}",3.55,"{""2"":1,""1"":1}",
dc21b8aa-0a47-408a-98bd-a40a7b07384b,kirana,2025-09-25 04:31:28,55.49,cash,60.0,"{""50"":1,""10"":1}",4.51,"{""2"":2}",
e10e2490-36b3-49d5-8633-614c69885c82,kirana,2025-10-22 18:56:26,132.94,cash,132.94,"{""100"":1,""20"":1,""10"":1,""2"":1}",0.0,,
7f06075c-8153-4713-80a2-e8c19c4990de,kirana,2025-08-23 21:48:07,8.07,cash,8.07,"{""5"":1,""2"":1,""1"":1}",0.0,,
243f4e75-99dc-4887-86d6-58409b238636,kirana,2025-11-10 08:16:37,19.77,cash,20.0,"{""20"":1}",0.23,,
685bf87c-78e3-49e9-8817-c1acc57dce56,kirana,2025-09-27 09:28:28,23.95,cash,23.95,"{""20"":1,""2"":1,""1"":1}",0.0,,
ce035614-56f2-434b-b48f-4d70d3fa70ad,kirana,2025-11-13 09:08:09,50.5,upi,,,0.0,,upi_txn=1baf24b2-5d6
b1efa44a-1aa8-4106-a862-efae212e6706,kirana,2025-09-05 07:45:02,49.2,upi,,,0.0,,upi_txn=33937299-f6b
004b0129-7b75-4ef3-8c8e-94a5ea51a607,kirana,2025-09-04 08:27:37,98.89,cash,98.89,"{""50"":1,""20"":2,""5"":1,""2"":1,""1"":1}",0.0,,
5e014ff7-5dae-4a67-81c7-c43a940cbc3a,kirana,2025-10-22 17:22:47,15.69,cash,15.69,"{""10"":1,""5"":1}",0.0,,
f8d7fc78-dab4-4647-9398-df34d7843a08,kirana,2025-10-02 19:13:18,60.65,cash,60.65,"{""50"":1,""10"":1}",0.0,,
b37dd04a-3f00-422a-9a86-10fab0f18609,kirana,2025-09-07 09:45:08,14.69,cash,20.0,"{""20"":1}",5.31,"{""5"":1}",
5ab07d2b-2929-4ebc-92aa-8baf2f8101b1,kirana,2025-11-02 19:44:00,117.16,cash,120.0,"{""100"":1,""20"":1}",2.84,"{""2"":1}",
16cb2996-8cdf-45e5-8cbb-73793cbd9a2c,kirana,2025-08-31 08:51:32,210.68,upi,,,0.0,,upi_txn=bfa2f246-196
7e659c91-7a28-43f1-aace-43767446b5b2,kirana,2025-11-01 08:09:48,75.22,cash,75.22,"{""50"":1,""20"":1,""5"":1}",0.0,,
e6b1d3e8-57cc-4514-92c4-6138ab883f35,kirana,2025-09-20 09:11:40,13.02,cash,15.0,"{""10"":1,""5"":1}",1.98,"{""1"":1}",
0b3abbaf-2173-46b2-87e9-6b4f7568f308,kirana,2025-10-28 23:37:50,53.81,cash,60.0,"{""50"":1,""10"":1}",6.19,"{""5"":1,""1"":1}",
06dc5401-0266-4b73-821d-d7b8286ebbc1,kirana,2025-11-04 20:06:30,37.9,cash,40.0,"{""20"":2}",2.1,"{""2"":1}",
ac246cf1-0c85-4ada-9122-57a5cce147d1,kirana,2025-08-27 18:51:55,151.03,cash,151.03,"{""100"":1,""50"":1,""1"":1}",0.0,,
5ee321da-dc16-42c3-b271-3c6f940919fa,kirana,2025-08-25 17:30:38,193.62,cash,200.0,"{""200"":1}",6.38,"{""5"":1,""1"":1}",
8fc9d1cd-c1fa-486a-9e1f-9329321fa4a0,kirana,2025-09-26 07:24:09,38.74,upi,,,0.0,,upi_txn=11ea447e-651
31490232-2a3c-45e5-977d-cba8048e5c13,kirana,2025-11-10 18:26:54,30.32,upi,,,0.0,,upi_txn=d027036c-f3d
5deb1000-1957-41ed-998e-cda83b8a2e2d,kirana,2025-10-02 08:00:29,67.22,upi,,,0.0,,upi_txn=eb5fa851-981
cb0b1f72-076f-46ee-bfe5-e815ba47295f,kirana,2025-10-18 11:07:38,16.64,cash,16.64,"{""10"":1,""5"":1,""1"":1}",0.0,,
e5d5a8b6-5111-4087-aa26-4c373ed84039,kirana,2025-10-08 18:15:47,10.76,cash,10.76,"{""10"":1}",0.0,,
b7d06f3b-50a7-465c-ad90-a1fb6509464a,kirana,2025-10-05 07:46:26,93.08,cash,100.0,"{""100"":1}",6.92,"{""5"":1,""1"":1}",
3a0b85e5-9fb2-42e0-9e98-fb3c6cae904a,kirana,2025-09-21 01:11:41,128.6,upi,,,0.0,,upi_txn=410ccb88-34c
a905426b-72c0-4026-a13c-a0992535b646,kirana,2025-08-30 08:49:03,68.18,cash,100.0,"{""100"":1}",31.82,"{""20"":1,""10"":1,""1"":1}",
b3023826-28a0-4a84-be71-8e753aedaaa5,kirana,2025-08-23 08:36:28,289.64,cash,300.0,"{""200"":1,""100"":1}",10.36,"{""10"":1}",
61c23d65-efc6-448b-8cda-3c31bd834edb,kirana,2025-09-20 17:11:50,80.42,cash,200.0,"{""200"":1}",119.58,"{""100"":1,""10"":1,""5"":1,""2"":2}",
3dd7cd1c-6b8c-435e-b0da-507429bda3a3,kirana,2025-10-18 19:44:11,175.44,cash,180.0,"{""100"":1,""50"":1,""20"":1,""10"":1}",4.56,"{""2"":2}",
5f473b5d-e6e4-480d-a4ad-9ff65094bd73,kirana,2025-10-30 09:48:15,54.72,cash,60.0,"{""50"":1,""10"":1}",5.28,"{""5"":1}",
e44639de-bf89-4adb-90c3-c45b695f9fe8,kirana,2025-08-21 17:51:42,34.66,cash,40.0,"{""20"":2}",5.0,"{""5"":1}",
9f7614b8-9ab8-471e-beca-a8bf8f64c6e5,kirana,2025-10-21 09:55:21,100.21,cash,110.0,"{""100"":1,""10"":1}",9.79,"{""5"":1,""2"":2}",
923a37f4-c2f6-4f80-906f-32fb91b3574f,kirana,2025-08-18 08:47:11,56.08,upi,,,0.0,,upi_txn=2ae0c5e3-a5e
fd4b39e6-decf-4d63-b6df-cb2e80ef85fc,kirana,2025-10-16 19:39:14,20.46,cash,20.46,"{""20"":1}",0.0,,
788ee39b-ef89-464d-860c-a4788c952a67,kirana,2025-09-02 03:21:38,22.48,upi,,,0.0,,upi_txn=890440d7-1fe
b401ad2b-4e24-4ca2-9ef2-bbb791ae1c3c,kirana,2025-09-29 16:22:13,125.93,cash,130.0,"{""100"":1,""20"":1,""10"":1}",4.07,"{""2"":2}",
d08d5c7e-bdd4-409d-90d4-c52b6e84d226,kirana,2025-10-04 09:17:09,54.68,upi,,,0.0,,upi_txn=85f0fbe6-b62
59449800-a2dd-4edf-9468-09d3cf999d5a,kirana,2025-10-21 15:48:01,197.3,cash,200.0,"{""200"":1}",2.7,"{""2"":1}",
6dbaf215-5631-4c12-a4cf-1c95e23fcf1c,kirana,2025-11-10 18:01:04,232.58,cash,300.0,"{""200"":1,""100"":1}",67.42,"{""50"":1,""10"":1,""5"":1,""2"":1}",
d5e4ea84-325a-4971-8297-dd7e3c60c8c1,kirana,2025-08-22 09:36:05,60.95,cash,80.0,"{""50"":1,""20"":1,""10"":1}",19.0,"{""10"":1,""5"":1,""2"":2}",
cabe154b-4ce7-4e3e-a767-a6a6b61b4bf1,kirana,2025-09-12 18:08:26,23.28,upi,,,0.0,,upi_txn=1939eef8-c01
56778092-1409-4f94-88c6-7eec787b62b0,kirana,2025-09-11 14:21:10,102.08,cash,110.0,"{""100"":1,""10"":1}",7.92,"{""5"":1,""2"":1}",
dfd633d5-7fd7-4667-9770-c5c7114ada15,kirana,2025-10-11 19:59:15,36.64,upi,,,0.0,,upi_txn=5159b26e-352
cb192a4f-9ff6-41ec-ade2-93b275b50223,kirana,2025-10-09 05:34:37,55.24,cash,60.0,"{""50"":1,""10"":1}",4.76,"{""2"":2}",
d8d104b6-4b8b-435f-99ab-3526246afd9b,kirana,2025-10-11 08:21:55,20.55,cash,20.55,"{""20"":1}",0.0,,
f5491f17-f60b-4570-b00c-ca64eeaaa2bd,kirana,2025-08-19 18:10:11,34.9,cash,40.0,"{""20"":2}",5.1,"{""5"":1}",
68dc4ca2-718a-419a-98a0-297630371602,kirana,2025-10-02 09:36:48,84.18,upi,,,0.0,,upi_txn=28f9b804-fb4
123a7277-24d1-4dc6-acf2-6cc3c49f9955,kirana,2025-10-28 09:10:20,30.03,cash,40.0,"{""20"":2}",9.97,"{""5"":1,""2"":2}",
c2bb10ff-52bb-4ea8-a84f-b13eb1171a4f,kirana,2025-09-14 09:44:25,117.14,cash,120.0,"{""100"":1,""20"":1}",2.86,"{""2"":1}",
9da067be-5026-4d82-9b7b-4b5a0f4f5c33,kirana,2025-08-27 20:06:19,121.8,cash,130.0,"{""100"":1,""20"":1,""10"":1}",8.2,"{""5"":1,""2"":1,""1"":1}",
f425c909-4f77-4519-b455-792b61a18c1c,kirana,2025-08-18 17:32:07,153.07,cash,160.0,"{""100"":1,""50"":1,""10"":1}",6.93,"{""5"":1,""1"":1}",
c0986bf5-0b56-4d94-9468-dc00479a7f20,kirana,2025-11-08 17:37:22,239.51,upi,,,0.0,,upi_txn=1f36deaf-337
59743081-d1a0-4466-9813-209233ddb039,kirana,2025-10-25 09:33:21,9.08,upi,,,0.0,,upi_txn=ba2f14ba-255
b19f3e9f-6cf5-4e0c-975e-02bb309b7b15,kirana,2025-09-12 08:35:17,193.28,upi,,,0.0,,upi_txn=cb49d6d5-0dc
3c3a93ec-1631-4702-8572-1da582b5fb8b,kirana,2025-11-12 00:31:51,32.76,cash,40.0,"{""20"":2}",7.24,"{""5"":1,""2"":1}",
a2adbd06-b7a5-4d86-bafe-adb412649055,kirana,2025-08-29 02:47:15,140.07,upi,,,0.0,,upi_txn=3498f2f6-0e5
83fc845a-2827-478d-ba71-dc55a8ee3202,kirana,2025-10-07 19:04:03,182.7,upi,,,0.0,,upi_txn=125aa107-17d
d2c6ea85-648a-4d6f-b000-c1382920be33,kirana,2025-11-07 07:48:09,5.0,upi,,,0.0,,upi_txn=132241d8-9e5
ca2cf5f2-424c-43ec-b2bf-6ec344a2a44b,kirana,2025-09-18 08:41:20,17.43,cash,20.0,"{""20"":1}",2.57,"{""2"":1}",
e5d97e43-111a-427d-adfb-05e49bb9341e,kirana,2025-10-17 08:07:12,27.91,cash,30.0,"{""20"":1,""10"":1}",2.09,"{""2"":1}",
6202528e-1919-4af7-9e88-eef1df7ebd2a,kirana,2025-10-03 08:48:46,78.89,cash,200.0,"{""200"":1}",121.11,"{""100"":1,""20"":1,""1"":1}",
dd0964a1-fd3b-4c7d-8c0a-a56df4cef052,kirana,2025-09-19 16:17:41,7.21,upi,,,0.0,,upi_txn=2c43cd0d-af1
04982528-fe99-49a2-9272-2021236899e5,kirana,2025-11-15 19:05:24,12.34,upi,,,0.0,,upi_txn=f6a35f20-eae
a35e5562-e5f2-4309-9735-325e2ca52ed3,kirana,2025-08-20 20:18:10,58.02,cash,58.02,"{""50"":1,""5"":1,""2"":1,""1"":1}",0.0,,
f17dcf97-1f3e-467e-bd17-784e38dfa450,kirana,2025-09-07 11:48:07,93.52,cash,100.0,"{""100"":1}",6.48,"{""5"":1,""1"":1}",
f3145b0c-4a06-4b23-90d3-fbf4532de674,kirana,2025-11-07 09:43:01,155.38,upi,,,0.0,,upi_txn=af3177d5-b39
14f6946a-aba7-4aed-8678-797d9926bb4a,kirana,2025-10-19 18:42:53,83.38,cash,90.0,"{""50"":1,""20"":2}",6.62,"{""5"":1,""1"":1}",
028767b0-86c7-4674-8809-4d4e5b14276e,kirana,2025-09-09 04:55:03,69.71,upi,,,0.0,,upi_txn=edcdc285-ac0
9b4dd3c3-a27d-4e8e-b7d6-86811a4426bd,kirana,2025-10-22 17:58:01,99.34,upi,,,0.0,,upi_txn=854f4385-140
de956a19-df7b-4d7e-897d-725a98802e54,kirana,2025-10-05 20:27:54,23.27,cash,25.0,"{""20"":1,""5"":1}",1.73,"{""1"":1}",
eb175085-0507-4fb1-a22e-29261f524358,kirana,2025-09-30 17:00:44,184.33,cash,190.0,"{""100"":1,""50"":1,""20"":2}",5.67,"{""5"":1}",
7aa778a4-530b-4dcf-8199-718a44ddd36b,kirana,2025-10-10 09:20:34,46.71,upi,,,0.0,,upi_txn=079acebf-ad5
ccb35fc9-34ef-42d7-9114-1a934c1e5779,kirana,2025-09-13 20:34:40,5.0,cash,20.0,"{""20"":1}",15.0,"{""10"":1,""5"":1}",
31dc0589-37bd-4457-a093-9d845d29223b,kirana,2025-09-30 18:50:07,256.83,upi,,,0.0,,upi_txn=67ba456f-372
2f581f39-832d-435e-a16f-8bcf075cc556,kirana,2025-09-06 12:45:04,84.5,cash,90.0,"{""50"":1,""20"":2}",5.5,"{""5"":1}",
96379a27-2295-4fc6-86e6-f18c06ea5151,kirana,2025-09-20 13:45:42,57.59,upi,,,0.0,,upi_txn=ac96e699-44e
9e169395-5b6b-4716-b4d6-3b0434988edb,kirana,2025-11-09 09:22:36,91.75,cash,100.0,"{""100"":1}",8.25,"{""5"":1,""2"":1,""1"":1}",
62bde14f-ef35-4a01-8a19-fb8af5a25f5b,kirana,2025-08-23 20:47:16,53.8,upi,,,0.0,,upi_txn=fee4ad91-d0d
dd1ebb6e-a27f-4021-8c70-dd53542a0b21,kirana,2025-09-26 18:14:11,208.83,cash,400.0,"{""200"":2}",191.17,"{""100"":1,""50"":1,""20"":2,""1"":1}",
625248d6-feaf-41d2-a51a-021c62ca64d7,kirana,2025-10-13 17:46:03,58.03,upi,,,0.0,,upi_txn=41af2d1c-554
5d543c67-d9c1-4318-91f4-4d60d527c77b,kirana,2025-11-01 16:37:18,5.99,cash,5.99,"{""5"":1}",0.0,,
ba143771-7c62-498c-9eb0-7c36f31058e6,kirana,2025-10-18 07:50:43,67.06,cash,80.0,"{""50"":1,""20"":1,""10"":1}",15.0,"{""10"":1,""5"":1}",
5fc4efab-90d0-4758-8f1e-0222210ae64d,kirana,2025-08-22 20:50:51,76.41,cash,76.41,"{""50"":1,""20"":1,""5"":1,""1"":1}",0.0,,
2bad7d81-d66c-4678-81b5-29cd86eb0f5f,kirana,2025-10-29 18:35:31,227.16,cash,400.0,"{""200"":2}",172.84,"{""100"":1,""50"":1,""20"":1,""2"":1}",
b42ca67a-fc41-4a95-a4fc-e7abd18426c2,kirana,2025-10-29 08:55:47,42.94,upi,,,0.0,,upi_txn=12b56847-886
c4bd86e2-937c-49e1-aee4-c509b2d72308,kirana,2025-08-24 09:52:54,24.57,cash,30.0,"{""20"":1,""10"":1}",5.43,"{""5"":1}",
38108b04-f478-41ee-9180-822e0f37cca0,kirana,2025-09-04 19:53:22,8.2,cash,10.0,"{""10"":1}",1.8,"{""1"":1}",
0c973826-6df6-458f-acab-91defe2e3b7e,kirana,2025-09-07 19:03:09,53.22,upi,,,0.0,,upi_txn=47fa10f7-219
ee4666cb-d07e-45bb-ad53-9dc548a3d70c,kirana,2025-09-22 18:31:23,49.99,cash,2000.0,"{""2000"":1}",1950.01,"{""500"":3,""200"":2,""50"":1}",
cbbcca6d-636d-4c83-b0ff-e2ce454eaa1e,kirana,2025-09-20 19:02:52,5.0,cash,20.0,"{""20"":1}",15.0,"{""10"":1,""5"":1}",
dbf9b63b-5aab-4344-b66f-90ff0cfa8f8f,kirana,2025-09-01 19:59:04,94.81,cash,100.0,"{""100"":1}",5.19,"{""5"":1}",
77b45808-4dc8-40de-abd0-2522f0a0780d,kirana,2025-11-13 17:34:56,100.97,cash,150.0,"{""100"":1,""50"":1}",49.0,"{""20"":2,""5"":1,""2"":2}",
e54c54c7-31a6-4485-9b37-cce5c825bc45,kirana,2025-11-02 07:42:14,104.69,upi,,,0.0,,upi_txn=7d8e0be3-bc7
c8033e13-ca4b-442f-a3f6-16ba135ba145,kirana,2025-10-28 08:40:15,42.8,cash,45.0,"{""20"":2,""5"":1}",2.2,"{""2"":1}",
7353f193-61fa-4f79-9080-5a344d526d27,kirana,2025-09-24 05:12:37,5.0,upi,,,0.0,,upi_txn=144fdaf3-7d7
dc3fc37d-30b6-4a00-a443-94d77492a06c,kirana,2025-10-13 19:31:58,191.73,upi,,,0.0,,upi_txn=0204ba38-9ce
7d290a0f-3b59-44cc-aab8-1815f9f5e306,kirana,2025-09-11 08:10:53,124.62,cash,130.0,"{""100"":1,""20"":1,""10"":1}",5.0,"{""5"":1}",
ce739282-0771-49ab-89a1-532ebd50c426,kirana,2025-09-04 08:18:31,14.44,upi,,,0.0,,upi_txn=49ff70ca-8e5
0f2ab7e1-06b9-4aba-b319-b33b728a8962,kirana,2025-10-12 13:12:29,30.01,cash,40.0,"{""20"":2}",9.99,"{""5"":1,""2"":2}",
dd06179d-9d3c-4471-84d2-edbf30d0f4a5,kirana,2025-08-25 18:56:05,75.52,cash,80.0,"{""50"":1,""20"":1,""10"":1}",4.48,"{""2"":2}",
6e0f3ead-0acd-4dd0-b60e-8fa09af9d0d2,kirana,2025-09-02 08:56:34,36.27,cash,100.0,"{""100"":1}",63.73,"{""50"":1,""10"":1,""2"":1,""1"":1}",
