tx_id,store_type,timestamp,total_amount,payment_method,tendered_amount,tendered_breakdown,change_given,change_breakdown,notes
0c99e7a8-7a1b-4938-b949-cf833bc44951,fast_food,2025-09-14 20:23:33,22.12,upi,,,0.0,,upi_txn=a45dc9f1-477
61b28098-c893-4c55-8dfb-b0f527717b88,fast_food,2025-09-06 13:35:39,99.46,upi,,,0.0,,upi_txn=66cce854-317
1a19ee05-3098-4b37-8381-44fcc1542654,fast_food,2025-08-28 22:51:52,88.89,upi,,,0.0,,upi_txn=4deca29a-113
36ceed2e-4ef0-4572-9d9d-0b5dacd04066,fast_food,2025-09-13 12:18:46,68.3,upi,,,0.0,,upi_txn=26daaf86-2b4
c3e37029-a633-406a-8c1a-e65b01bfa091,fast_food,2025-10-12 19:18:34,52.63,cash,52.63,"{""50"":1,""2"":1}",0.0,,
c1c9eaaa-e3c4-4695-b9b7-5c7f11e113f1,fast_food,2025-09-14 19:21:54,257.42,upi,,,0.0,,upi_txn=771e80fe-b0f
6f41d339-5ead-40a2-883d-0f5bee31e83b,fast_food,2025-11-03 20:48:28,377.39,upi,,,0.0,,upi_txn=ef5ae588-ca3
1e8bc809-3202-4bf1-99de-613bbe7afef8,fast_food,2025-08-25 20:43:24,196.37,upi,,,0.0,,upi_txn=09d79056-622
db1c4ffa-4dc5-438d-b79f-cc88d513f85a,fast_food,2025-09-06 13:38:55,82.38,cash,100.0,"{""100"":1}",17.62,"{""10"":1,""5"":1,""2"":1}",
9b5e464f-81b2-445d-8615-6ce8a4afb4e3,fast_food,2025-11-07 20:49:37,20.0,cash,20.0,"{""20"":1}",0.0,,
418b64af-215f-4721-adda-3f046a54833d,fast_food,2025-10-02 22:26:06,106.05,upi,,,0.0,,upi_txn=7bdbaa9a-af6
2f0250a5-a22b-48a4-acba-22593be0f5ab,fast_food,2025-08-21 22:15:27,176.07,upi,,,0.0,,upi_txn=bf0c955f-73f
20ea36d9-0226-49bb-9063-0f1bc019c5ed,fast_food,2025-11-06 21:49:25,181.51,upi,,,0.0,,upi_txn=51eece71-f15
33a60894-662b-4e32-8d0c-be4dbdb602da,fast_food,2025-09-24 14:30:50,202.02,cash,202.02,"{""200"":1,""2"":1}",0.0,,
d72ed587-9d7c-402a-a4c4-578c40b3f273,fast_food,2025-09-30 22:44:27,20.0,card,,,0.0,,card_txn=08a7f430-469
09d03697-9476-4587-930e-1a12ac9a1244,fast_food,2025-08-29 22:39:01,92.35,upi,,,0.0,,upi_txn=125da050-96c
6d467ab9-4e43-4e33-af12-6a0e90936939,fast_food,2025-10-10 09:56:45,107.17,upi,,,0.0,,upi_txn=e1905c10-877
6aa7a79a-e7fb-40d2-9983-6820845ab3f9,fast_food,2025-11-08 22:36:12,20.0,cash,20.0,"{""20"":1}",0.0,,
81e5e1ee-f2d5-4d3d-89ae-6f273ef825a6,fast_food,2025-09-18 18:29:17,174.06,upi,,,0.0,,upi_txn=f5fae242-c53
ce2b5665-aa31-402a-af27-5544080e7cc0,fast_food,2025-10-15 14:53:52,43.93,cash,43.93,"{""20"":2,""2"":1,""1"":1}",0.0,,
2487fbd9-a167-443b-90c9-423c73f4d890,fast_food,2025-09-11 14:57:48,98.81,cash,100.0,"{""100"":1}",1.19,"{""1"":1}",
5e310d3b-361a-4ecf-8619-8f56e5f33f80,fast_food,2025-08-29 20:00:10,31.06,upi,,,0.0,,upi_txn=7fd54421-da4
a775ee0b-9b2f-4fe3-9d2e-52645973659b,fast_food,2025-09-03 13:32:16,66.37,cash,66.37,"{""50"":1,""10"":1,""5"":1,""1"":1}",0.0,,
e62642bb-3ffa-4821-90de-1384676f3f01,fast_food,2025-09-26 21:48:14,254.42,cash,400.0,"{""200"":2}",145.58,"{""100"":1,""20"":2,""5"":1}",
2f25dec2-49d8-4f65-a192-a7a0fbd33ad7,fast_food,2025-10-14 14:39:13,441.31,cash,450.0,"{""200"":2,""50"":1}",8.69,"{""5"":1,""2"":1,""1"":1}",
6ee68b12-2ca7-4d44-82cb-c312b7383dab,fast_food,2025-09-24 19:25:26,20.0,upi,,,0.0,,upi_txn=ac0934fe-c39
fd1c5242-2b81-4bbb-bcf8-56ca6d5aa27e,fast_food,2025-09-28 22:35:40,20.0,upi,,,0.0,,upi_txn=3bb65cb9-4a6
24e399d7-4d32-456b-85b1-ed2508d059dd,fast_food,2025-09-14 22:00:10,226.86,upi,,,0.0,,upi_txn=28d73d63-49c
9c8adaed-5de6-4f6f-b2ba-1a5c767294b9,fast_food,2025-08-30 21:41:33,127.79,upi,,,0.0,,upi_txn=b597c01c-5cc
8144a048-8f9a-43d2-8e8b-610a3499cf18,fast_food,2025-10-05 20:39:32,68.6,upi,,,0.0,,upi_txn=31bd137d-860
9d54d288-efed-4f99-983d-0a7d8b1385e3,fast_food,2025-11-03 21:06:16,86.78,upi,,,0.0,,upi_txn=3cf9b9ec-72b
f58e4520-1386-4136-94e1-82075cdcec82,fast_food,2025-08-20 13:34:49,62.16,cash,80.0,"{""50"":1,""20"":1,""10"":1}",17.84,"{""10"":1,""5"":1,""2"":1}",
5d527c25-eea4-46a0-8c49-3cc27567acc3,fast_food,2025-10-10 14:12:25,114.37,cash,150.0,"{""100"":1,""50"":1}",35.63,"{""20"":1,""10"":1,""5"":1}",
a85763bf-b40f-4835-bc1f-60bf58d9b7fc,fast_food,2025-10-06 02:20:54,20.0,upi,,,0.0,,upi_txn=e6353380-fdd
6d21a37c-f976-4a90-b88f-f2d1c2d7c544,fast_food,2025-10-25 13:59:30,139.24,cash,140.0,"{""100"":1,""20"":2}",0.76,,
b6e126a7-90e8-4b45-adfb-ca7c4139d6f0,fast_food,2025-10-23 22:18:00,309.64,upi,,,0.0,,upi_txn=97758c84-620
23c992bd-d616-4dc0-b6f3-38edb2c29b49,fast_food,2025-09-29 20:09:32,111.07,upi,,,0.0,,upi_txn=d9596c71-61a
c44b33e8-73d5-47d5-8f58-b487e38e787a,fast_food,2025-09-22 14:00:25,63.86,upi,,,0.0,,upi_txn=bd9f6ce5-a7a
ca0027fc-7347-402c-ba6f-dfb20d078964,fast_food,2025-10-20 15:58:25,150.72,upi,,,0.0,,upi_txn=592959f1-313
8fdc97c2-c236-47b1-a67c-b64fa23aae32,fast_food,2025-08-27 13:02:28,242.57,upi,,,0.0,,upi_txn=fc520e59-d24
44561e4f-6cbb-4fec-b461-e9e4a2667ed3,fast_food,2025-08-26 22:53:38,20.0,cash,20.0,"{""20"":1}",0.0,,
27af2927-1107-463b-8090-06ee08ec1289,fast_food,2025-10-15 22:42:08,366.13,upi,,,0.0,,upi_txn=82968fb0-e95
