tx_id,store_type,timestamp,total_amount,payment_method,tendered_amount,tendered_breakdown,change_given,change_breakdown,notes
553cd5ef-5329-47cd-9d92-05ca2bff98ee,petrol_pump,2025-10-03 20:09:14,223.53,card,,,0.0,,card_txn=a0b06b57-862
2db159cb-21b4-4dd7-af47-e2362957dbec,petrol_pump,2025-11-05 17:00:58,3134.32,cash,3500.0,"{""2000"":1,""500"":3}",365.68,"{""200"":1,""100"":1,""50"":1,""10"":1,""5"":1}",
55488475-b232-446f-8d43-b83735f5cdd7,petrol_pump,2025-09-14 17:41:51,1686.94,cash,2000.0,"{""2000"":1}",313.06,"{""200"":1,""100"":1,""10"":1,""2"":1,""1"":1}",
5a23198c-e17c-46cb-8b61-2f2e8c376e16,petrol_pump,2025-10-30 18:43:26,2635.48,upi,,,0.0,,upi_txn=6ae26374-311
08a59997-c9af-4e7e-addb-889b75ef0a22,petrol_pump,2025-09-01 05:16:53,3450.31,upi,,,0.0,,upi_txn=a6c63b2b-1d2
73e83e60-06cf-4d91-bee7-189bfaefbaba,petrol_pump,2025-09-07 00:54:50,5756.31,upi,,,0.0,,upi_txn=6da242d1-b85
165ee400-625f-4b38-98c5-99fa03e1e0c0,petrol_pump,2025-10-29 23:51:17,1853.75,upi,,,0.0,,upi_txn=382dfba9-f79
d8d97472-2e9a-44f6-b05b-b15871b004aa,petrol_pump,2025-10-30 07:37:59,4498.08,card,,,0.0,,card_txn=85cfa213-4d9
e61dfe37-dc99-4954-8b5e-26b6c8d22cec,petrol_pump,2025-11-02 06:17:21,3983.72,card,,,0.0,,card_txn=cb815aaf-170
146cf2ec-b2a5-44c1-8bf4-18e8124ebd1b,petrol_pump,2025-08-27 08:46:07,4484.02,cash,4500.0,"{""2000"":2,""500"":1}",15.98,"{""10"":1,""5"":1}",
faf3ccdd-3073-41f8-8aae-8465e5bef0c1,petrol_pump,2025-10-06 17:36:19,200.0,card,,,0.0,,card_txn=9a8773e4-7d0
84da925a-0123-41d9-8f09-ac5f927db595,petrol_pump,2025-08-19 21:06:52,4513.05,cash,4600.0,"{""2000"":2,""500"":1,""100"":1}",86.95,"{""50"":1,""20"":1,""10"":1,""5"":1,""1"":1}",
378ef114-16e3-4280-9ee9-eec019f23fcb,petrol_pump,2025-11-05 16:57:50,3946.76,card,,,0.0,,card_txn=da453f60-984
4930d845-3a26-4ca0-83ce-1d54b8710be2,petrol_pump,2025-11-04 19:00:19,4113.3,card,,,0.0,,card_txn=66372b05-9cd
910c318c-46c2-46f8-a9f0-5cd8dd18046a,petrol_pump,2025-09-14 06:23:12,1693.04,card,,,0.0,,card_txn=05359f5f-6be
371cbe0a-1e09-4ee3-944d-0b0048482d21,petrol_pump,2025-09-16 15:55:32,3384.26,cash,3400.0,"{""2000"":1,""500"":2,""200"":2}",15.74,"{""10"":1,""5"":1}",
a8fe4a0e-554e-448c-a6a6-f3e677f9dc62,petrol_pump,2025-08-30 19:00:27,4896.73,upi,,,0.0,,upi_txn=f87bfada-a66
dfdb5041-815e-4836-b5ff-8b58f2ba7297,petrol_pump,2025-11-12 06:57:46,2624.57,upi,,,0.0,,upi_txn=2ced948f-b32
168edde1-002b-4662-a04c-f530ef3de029,petrol_pump,2025-10-05 22:08:51,200.0,upi,,,0.0,,upi_txn=db084ff6-edd
3e529d80-421c-4893-92b5-1699d9eed680,petrol_pump,2025-08-26 17:11:25,3115.14,upi,,,0.0,,upi_txn=98411aaf-39b
a5774310-0f6c-4e2b-82be-39ece1a5600d,petrol_pump,2025-10-15 06:34:17,3489.52,card,,,0.0,,card_txn=47b3e489-41f
3d6ab307-58b0-46dc-b314-eaedfb30fa06,petrol_pump,2025-08-21 11:01:52,2914.86,card,,,0.0,,card_txn=f165a409-f79
72daa39a-c034-4a6d-8710-2f9721bbb4a4,petrol_pump,2025-08-27 06:21:58,4026.58,upi,,,0.0,,upi_txn=99601b40-8f9
78a5406c-0224-4016-9f28-923c6535ee8c,petrol_pump,2025-08-29 06:38:52,913.62,cash,913.62,"{""500"":1,""200"":2,""10"":1,""2"":1,""1"":1}",0.0,,
a6077b80-2127-4bc8-8bfd-4198e81175bb,petrol_pump,2025-10-22 10:38:11,2358.75,upi,,,0.0,,upi_txn=bf19b3c0-576
