tx_id,store_type,timestamp,total_amount,payment_method,tendered_amount,tendered_breakdown,change_given,change_breakdown,notes
d84b8fd1-bcdf-4fb9-9d02-d8700a783cda,supermarket_mid,2025-10-30 21:07:34,144.27,upi,,,0.0,,upi_txn=efafa944-f1c
c89fb94f-1000-4a6e-9af2-e7e8fee177cc,supermarket_mid,2025-08-18 12:12:45,239.39,upi,,,0.0,,upi_txn=ee29ab71-ec8
9640d9de-51cc-4bd5-8d48-a9278d0b21ec,supermarket_mid,2025-10-30 12:06:28,49.73,card,,,0.0,,card_txn=545c6646-c04
9fe00b12-0329-4551-aab1-d2d96d1901f2,supermarket_mid,2025-09-21 10:11:05,24.66,card,,,0.0,,card_txn=091f4d03-f6b
115a63b1-97c3-469f-8250-3e4a9d9ab215,supermarket_mid,2025-11-01 21:14:57,45.71,card,,,0.0,,card_txn=b6decdf2-1ed
ab6976d4-5b36-4e1a-8cfd-6bb22020b445,supermarket_mid,2025-11-02 11:33:43,181.81,upi,,,0.0,,upi_txn=69245479-672
a0c4d605-c0d1-4dcb-ac28-9c8540ae94fb,supermarket_mid,2025-11-06 11:54:07,125.73,upi,,,0.0,,upi_txn=8bd411c4-b27
af433055-ac03-445d-864d-79392099be42,supermarket_mid,2025-08-20 21:28:35,33.97,upi,,,0.0,,upi_txn=6335f914-a19
bdaca4aa-3bd0-4b14-820b-95d1a9ba26d0,supermarket_mid,2025-10-14 10:47:51,96.58,upi,,,0.0,,upi_txn=53f462dc-be5
0b9f2385-c1e8-42f5-a9eb-a88738bbc49b,supermarket_mid,2025-08-19 12:08:57,62.71,upi,,,0.0,,upi_txn=7ea37d72-c5e
045ae392-9ef5-43cc-839f-5e1cd531b89d,supermarket_mid,2025-09-07 21:39:47,33.95,upi,,,0.0,,upi_txn=5dcbe83d-1fd
c0dbbd4a-651f-4b48-930f-3512e4149368,supermarket_mid,2025-10-05 08:32:13,113.7,upi,,,0.0,,upi_txn=84cdb78e-3f8
28ce6976-ee17-4c68-a0ef-3e86178f8356,supermarket_mid,2025-09-04 18:35:50,29.66,cash,40.0,"{""20"":2}",10.34,"{""10"":1}",
40323dc9-a5c7-45c6-970e-e7c5bc9bc9b1,supermarket_mid,2025-08-27 04:28:23,14.59,upi,,,0.0,,upi_txn=118833b3-320
230314ab-c9c9-4d41-abf0-42104b2235d5,supermarket_mid,2025-10-17 05:04:04,129.21,card,,,0.0,,card_txn=9323cb6d-f9b
b38a0a9e-cc8c-4b5e-ba26-aa41d45ac5d9,supermarket_mid,2025-08-24 21:56:14,76.68,upi,,,0.0,,upi_txn=03848d7b-3bc
d7fe9957-cab3-47db-8f0c-64d1226cb4e8,supermarket_mid,2025-09-15 19:17:33,38.67,cash,40.0,"{""20"":2}",1.33,"{""1"":1}",
de7bdd92-1f3e-4d45-ab07-8c8378723080,supermarket_mid,2025-09-05 12:23:36,147.2,upi,,,0.0,,upi_txn=e01e045a-aad
9f9246ff-0043-4121-bad7-97805ea65520,supermarket_mid,2025-11-09 20:13:21,163.85,upi,,,0.0,,upi_txn=76909e3e-70d
4850c77c-1695-46d4-9740-5ea15ce6749c,supermarket_mid,2025-11-09 06:39:33,40.7,cash,50.0,"{""50"":1}",9.3,"{""5"":1,""2"":2}",
