tx_id,store_type,timestamp,total_amount,payment_method,tendered_amount,tendered_breakdown,change_given,change_breakdown,notes
536f3464-a3d2-4d5b-9e69-e6b7c3b2ff74,kirana,2023-11-18 07:36:32,72.36,upi,,,0.0,,upi_txn=761f6af7-411
9abebcaf-3335-4f3c-9398-46d9dc4c3e50,kirana,2023-11-18 08:07:51,62.79,cash,100.0,"{""100"":1}",37.21,"{""20"":1,""10"":1,""5"":1,""2"":1}",
ff6cd451-263d-4182-bbc4-e740b7f649ae,kirana,2023-11-18 08:09:16,13.23,upi,,,0.0,,upi_txn=d4898803-f9a
bd0f56e0-fa9b-4414-87bc-ace1f5169058,kirana,2023-11-18 09:51:01,221.29,cash,250.0,"{""200"":1,""50"":1}",28.71,"{""20"":1,""5"":1,""2"":1,""1"":1}",
1ef4fd3c-5471-4ac0-a79e-ae5458658c84,kirana,2023-11-18 11:10:45,34.15,cash,35.0,"{""20"":1,""10"":1,""5"":1}",0.85,,
fc29ba37-e264-403b-9974-3d5a97ff2563,kirana,2023-11-18 12:08:14,35.77,upi,,,0.0,,upi_txn=22fc1ed1-c1e
f13ef14f-f389-4187-b1a7-537a279f4de5,kirana,2023-11-18 12:37:44,121.92,upi,,,0.0,,upi_txn=08723367-284
33cf1ff6-7488-4cfe-81f5-d02bb26255b5,kirana,2023-11-18 17:45:01,30.7,cash,35.0,"{""20"":1,""10"":1,""5"":1}",4.3,"{""2"":2}",
8d114b25-0d3d-4cce-8d6e-773dcc0327ab,kirana,2023-11-18 18:01:13,12.76,upi,,,0.0,,upi_txn=f20f3151-789
d87cfd62-bf4b-40c9-9736-4e8e1c84b635,kirana,2023-11-18 18:07:27,33.84,cash,33.84,"{""20"":1,""10"":1,""2"":1,""1"":1}",0.0,,
e4cb8251-6ab1-4a6d-8dc9-fd777cf1bfe7,kirana,2023-11-18 19:26:06,76.3,cash,100.0,"{""100"":1}",23.7,"{""20"":1,""2"":1,""1"":1}",
4d970859-0ec0-45e3-9ae8-81a8d8456f38,kirana,2023-11-18 19:50:58,87.78,upi,,,0.0,,upi_txn=2ca2f89c-230
13279c04-1f4a-4b4d-ba95-81d1fd9677f0,kirana,2023-11-18 20:01:03,23.33,upi,,,0.0,,upi_txn=b82182e5-5e1
2a01fd96-e6e3-4e1f-8aa4-1d8e749991da,kirana,2023-11-18 20:23:19,22.31,cash,40.0,"{""20"":2}",17.69,"{""10"":1,""5"":1,""2"":1}",
2e9b3c59-9e41-4a8f-ad9e-ada36c73bd98,kirana,2023-11-18 20:39:44,90.1,cash,100.0,"{""100"":1}",9.9,"{""5"":1,""2"":2}",
21bdc44a-fea8-4a5f-b14e-c31564977a74,kirana,2023-11-18 23:28:18,93.56,upi,,,0.0,,upi_txn=9df27b1d-b28
2f3510e8-8b3b-47e8-a3b1-0f35dee2c8f8,kirana,2023-11-19 07:06:52,73.93,upi,,,0.0,,upi_txn=d186adf6-a12
941b0888-be20-4817-b4a3-1d98092c6b35,kirana,2023-11-19 07:13:55,7.6,cash,20.0,"{""20"":1}",12.4,"{""10"":1,""2"":1}",
5d1755a5-532e-48c7-a790-b9749c9d740f,kirana,2023-11-19 07:45:54,38.87,cash,38.87,"{""20"":1,""10"":1,""5"":1,""2"":1,""1"":1}",0.0,,
54829fb7-0d46-47f7-867f-257598f15057,kirana,2023-11-19 09:05:48,125.21,upi,,,0.0,,upi_txn=88778d1f-9c2
1d0e22ff-6a52-4eb7-8026-b453b45bd120,kirana,2023-11-19 09:22:07,46.24,cash,50.0,"{""50"":1}",3.76,"{""2"":1,""1"":1}",
e9991054-fa2a-42de-9454-214b25416d3f,kirana,2023-11-19 09:43:05,4.96,upi,,,0.0,,upi_txn=cb5e6c7f-79e
c702b351-50eb-4678-80ed-6f8fedaeb9c9,kirana,2023-11-19 15:29:14,12.07,cash,15.0,"{""10"":1,""5"":1}",2.93,"{""2"":1}",
2015fd35-7aa8-471b-b9eb-be82e01403eb,kirana,2023-11-19 17:07:48,38.8,cash,2000.0,"{""2000"":1}",1961.2,"{""500"":3,""200"":2,""50"":1,""10"":1,""1"":1}",
81cd7e90-f167-4553-b4be-2b7642e0cea4,kirana,2023-11-19 17:38:54,62.11,cash,80.0,"{""50"":1,""20"":1,""10"":1}",17.89,"{""10"":1,""5"":1,""2"":1}",
a8d775cb-62c8-49b1-8fd3-60f1b3154c8f,kirana,2023-11-19 18:25:22,43.24,upi,,,0.0,,upi_txn=332d73ef-6c2
8fa425dd-9c10-4212-8c3e-8599604395e2,kirana,2023-11-19 18:48:33,31.06,cash,31.06,"{""20"":1,""10"":1,""1"":1}",0.0,,
2342d308-8029-4498-810e-5369cf59882f,kirana,2023-11-19 20:24:39,6.65,cash,10.0,"{""10"":1}",3.35,"{""2"":1,""1"":1}",
3c46122e-ba32-41df-b010-3af8b178abd8,kirana,2023-11-19 20:39:37,68.22,cash,80.0,"{""50"":1,""20"":1,""10"":1}",11.78,"{""10"":1,""1"":1}",
23133d37-e052-43d7-8b98-6717d30abcf2,kirana,2023-11-20 01:03:58,8.87,upi,,,0.0,,upi_txn=1f8119e4-957
6a4a73a6-bf2e-45a2-8ee8-51ae75e1fc41,kirana,2023-11-20 03:10:31,45.49,upi,,,0.0,,upi_txn=2d3c4b84-faf
58b40686-08d0-4a8f-8628-1115cc09f05e,kirana,2023-11-20 03:20:23,4.96,cash,20.0,"{""20"":1}",15.04,"{""10"":1,""5"":1}",
131be36c-c68f-41c1-b6ca-b414be8ffb80,kirana,2023-11-20 04:28:47,4.96,cash,4.96,"{""2"":2}",0.0,,
8247620e-3375-42c6-ad48-620fbb708597,kirana,2023-11-20 06:48:19,103.86,upi,,,0.0,,upi_txn=830afd75-85a
